Resin Code/Original Identifier,Source,Sample,Class1,Class2,Physical State,Alternate names,Melt flow rate,bigSMILES,CAS number,Material Keywords,reference URL,density [g/cm3],crystallinity,SCB [CH3/1000C]
S1476a,NIST Standards,N1476LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene','1476'",1.23 g/10 min,"{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",https://www-s.nist.gov/srmors/certificates/1476A.pdf,0.9185,0.312646458,21.2
S1474,NIST Standards,N1474PE,PE,HDPE,Pellet,"high density polyethylene','HDPE','polyethylene','1474'",5.01 g/10 min,{[][$]CC[$][]},9002-88-4,"`polyolefins','semicrystalline','linear','homopolymer'",https://www-s.nist.gov/srmors/certificates/1474b.pdf,,,
S1473,NIST Standards,N1473LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene','1473'",1.17 g/10 min,"{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",https://www-s.nist.gov/srmors/certificates/1473c.pdf,0.9165,0.247115123,27.2
,Commercial Supplier,S0081LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene'",,"{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",,0.921,0.370844687,23.6
,Commercial Supplier,S0036RPP,PP,PP-co-PE,Pellet,"random polypropylene','PP', 'polypropylene'",,"{[][$]CC(C)[$],[$]CC[$][]}",9003-07-0,"`polyolefins','semicrystalline','copolymer','random'",,0.9095,0.390289715,318.75
,Commercial Supplier,S0024LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene'",,"{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",,0.917,0.486852861,28.9
,Commercial Supplier,S0011PP,PP,PP,Pellet,"polypropylene','PP'",,{[][$]CC(C)[$][]},9003-07-0,"`polyolefins','semicrystalline','linear','homopolymer'",,0.9085,0.438083052,331.6
,Commercial Supplier,S0048HDPE,PE,HDPE,Pellet,"high density polyethylene','HDPE','polyethylene'",,{[][$]CC[$][]},9002-88-4,"`polyolefins','semicrystalline','linear','homopolymer'",,0.955,0.603814714,9.7
,Commercial Supplier,S0052PP,PP,PP-co-PE,Pellet,"impact polypropylene','PP', 'polypropylene'",,"{[][$]CC(C)[$],[$]CC[$][]}",9003-07-0,"`polyolefins','semicrystalline','copolymer','random'",,0.8895,0.382844037,293.65
,Commercial Supplier,S0040HDPE,PE,HDPE,Pellet,"high density polyethylene','HDPE','polyethylene'",,{[][$]CC[$][]},9002-88-4,"`polyolefins','semicrystalline','linear','homopolymer'",,0.955,0.62489782,7.35
